Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFZ24,95.415,95.42,95.42,95.435,
2024-08-19 06:16:00,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:16:14,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:17:02,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:17:16,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:17:30,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:17:45,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:17:59,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:18:13,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:18:28,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:18:42,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:18:56,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:19:11,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:19:25,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:19:40,FFZ24,95.42,95.425,95.42,95.435,
2024-08-19 06:19:54,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:20:09,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:20:23,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:20:38,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:20:52,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:21:06,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:21:21,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:21:35,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:21:49,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:22:04,FFZ24,95.42,95.43,95.425,95.435,
2024-08-19 06:22:18,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:22:33,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:22:47,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:23:02,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:23:16,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:23:30,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:23:45,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:23:59,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:24:13,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:24:28,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:24:42,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:24:57,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:25:11,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:25:25,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:25:40,FFZ24,95.425,95.43,95.425,95.435,
2024-08-19 06:25:54,FFZ24,95.43,95.435,95.425,95.435,
2024-08-19 06:26:09,FFZ24,95.43,95.435,95.425,95.435,
