Instrument,BID,ASK,TRDPRC_1,OPEN_PRC,CLOSE_PRC
FFU24,94.8,94.805,94.805,94.805,
2024-08-19 06:10:46,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:11:01,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:11:15,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:11:29,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:11:43,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:11:58,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:12:12,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:12:26,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:12:40,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:12:54,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:13:08,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:13:23,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:13:37,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:13:51,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:14:06,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:14:20,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:14:34,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:14:48,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:15:02,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:15:16,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:15:31,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:15:45,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:16:00,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:16:14,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:17:02,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:17:16,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:17:30,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:17:45,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:17:59,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:18:13,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:18:28,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:18:42,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:18:56,FFU24,94.805,94.81,94.805,94.805,
2024-08-19 06:19:11,FFU24,94.805,94.81,94.805,94.805,
